,,,,,,,,,,,,,
,Control Panel,Ex. Units,Ex. Unit Price,Ex. Units/Day,Ex. COG,Ex. COA,Ex. COF,Ex. Monthly Expenses,PCB,Employee Profit Share,Dividends,Annual Working Days,
,,6,$300.00,6,50.00%,0.00%,20.00%,"$2,000.00",0.00%,20.00%,0.00%,250,
,,,,,,,,,,,,,
,Project Breakdown,%,$ Per Unit,$ Project Total,,Profit Projections,Operating Profit, ,Net Profit,,Parent Company Income,Revenue,
,Revenue,100.00%,$300.00,"$1,800.00",,Monthly,"$13,000.00",Daily,$261.60,,Daily,$237.60,
,COG,50.00%,$150.00,$900.00,,Quarterly,"$39,000.00",Weekly,"$1,308.00",,Weekly,"$1,188.00",
,Gross Profit,50.00%,$150.00,$900.00,,Profit Share,"$7,800.00",Monthly,"$5,450.00",,Monthly,"$4,950.00",
,COA,0.00%,$0.00,$0.00,,Dividends,$0.00,Quarterly,"$16,350.00",,Quarterly,"$14,850.00",
,COF,10.00%,$30.00,$180.00,,,,Annual,"$65,400.00",,Annual,"$59,400.00",
,PCB,0.00%,$0.00,$0.00,,,,,,,,,
,Operating Profit,40.00%,$120.00,$720.00,,,,,,,,,
,PC Royalties,13.20%,$39.60,$237.60,,,,,,,,,
,Profit Share,8.00%,$24.00,$144.00,,,,,,,,,
,Net Profit,18.80%,$56.40,$338.40,,,,,,,,,
,,,,,,,,,,,,,
,,,Days to Complete,1,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Fulfillment,,,,,,,,,,,
,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,
,Process,Points-per-Unit,Pay-per-Unit,Est. Total Points,Est. Percentage,Est. Daily Earnings,Est. Weekly Earnings,Est. Monthly Earnings.,Est. PCB Earnings,Est. Profit Share,Est. Quarterly Earnings,Est. Annual Earnings,
,Check-In,0.25,$3.33,1.5,11.11%,$20.00,$100.00,$416.67,$0.00,$866.67,"$2,116.67","$8,466.67",
,Online Repair,1,$13.33,6,44.44%,$80.00,$400.00,"$1,666.67",$0.00,"$3,466.67","$8,466.67","$33,866.67",
,Offline Repair,0.5,$6.67,3,22.22%,$40.00,$200.00,$833.33,$0.00,"$1,733.33","$4,233.33","$16,933.33",
,Checkout,0.125,$1.67,0.75,5.56%,$10.00,$50.00,$208.33,$0.00,$433.33,"$1,058.33","$4,233.33",
,Totals,1.875,$25.00,11.25,83.33%,$150.00,$750.00,"$3,125.00",$0.00,"$6,500.00","$15,875.00","$63,500.00",
,,,,,,,,,,,,,
,Indirect,,,,,,,,,,,,
,Process,Points-per-Unit,Pay-per-Unit,Est. Total Points,Est. Percentage,Est. Daily Earnings,Est. Weekly Earnings,Est. Monthly Earnings.,Est. PCB Earnings,Est. Profit Share,Est. Quarterly Earnings,Est. Annual Earnings,
,Regional Lead,0.125,$1.67,0.75,5.56%,$10.00,$50.00,$208.33,$0.00,$433.33,"$1,058.33","$4,233.33","$211,666.67"
,Shop Lead,0.25,$3.33,1.5,11.11%,$20.00,$100.00,$416.67,$0.00,$866.67,"$2,116.67","$8,466.67","$42,333.33"
,Totals,0.375,$5.00,2.25,16.67%,$30.00,$150.00,$625.00,$0.00,"$1,300.00","$3,175.00","$12,700.00",
,,,,,,,,,,,,,
,,Points-per-Unit,Pay-Per-Point,Points,,,,,,,,,
,Total,2.25,$13.33,13.5,,,,,,,,,
